genotype,performance,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency
"[1, 3, 2, 4, 0]",-1,1.4987,0.0469,0.0789,0.0118,0.0114,0.0682,0.0
"[1, 3, 2, 4, 0]",-1,1.4987,0.0469,0.0789,0.0118,0.0114,0.0682,0.0
"[1, 3, 2, 4, 0]",-1,1.4987,0.0469,0.0789,0.0118,0.0114,0.0682,0.0
"[1, 3, 2, 4, 0]",-1,1.4987,0.0469,0.0789,0.0118,0.0114,0.0682,0.0
"[1, 3, 2, 4, 0]",-1,1.4987,0.0469,0.0789,0.0118,0.0114,0.0682,0.0
"[1, 3, 2, 4, 0]",-1,1.4987,0.0469,0.0789,0.0118,0.0114,0.0682,0.0
"[1, 3, 2, 4, 0]",-1,1.4987,0.0469,0.0789,0.0118,0.0114,0.0682,0.0
"[1, 3, 2, 4, 0]",-1,1.4987,0.0469,0.0789,0.0118,0.0114,0.0682,0.0
"[1, 4, 0, 0, 0]",-1,1.4987,0.0469,0.0789,0.0118,0.0114,0.0682,0.0
"[1, 4, 0, 0, 1]",-1,1.4987,0.0469,0.0789,0.0118,0.0114,0.0682,0.0
"[1, 4, 0, 1, 1]",-1,1.4987,0.0469,0.0789,0.0118,0.0114,0.0682,0.0
"[1, 4, 0, 1, 1]",-1,1.4987,0.0469,0.0789,0.0118,0.0114,0.0682,0.0
"[1, 4, 0, 1, 1]",-1,1.4987,0.0469,0.0789,0.0118,0.0114,0.0682,0.0
"[1, 4, 0, 1, 1]",-1,1.4987,0.0469,0.0789,0.0118,0.0114,0.0682,0.0
"[1, 4, 0, 1, 1]",-1,1.4987,0.0469,0.0789,0.0118,0.0114,0.0682,0.0
"[1, 4, 0, 1, 1]",-1,1.4987,0.0469,0.0789,0.0118,0.0114,0.0682,0.0
"[1, 4, 0, 1, 1]",-1,1.4987,0.0469,0.0789,0.0118,0.0114,0.0682,0.0
"[1, 4, 0, 1, 1]",-1,1.4987,0.0469,0.0789,0.0118,0.0114,0.0682,0.0
"[1, 4, 0, 1, 1]",-1,1.4987,0.0469,0.0789,0.0118,0.0114,0.0682,0.0
"[1, 4, 0, 1, 1]",-1,1.4987,0.0469,0.0789,0.0118,0.0114,0.0682,0.0
"[1, 4, 0, 1, 1]",-1,1.4987,0.0469,0.0789,0.0118,0.0114,0.0682,0.0
"[1, 0, 0, 1, 1]",-1,1.4987,0.0469,0.0789,0.0118,0.0114,0.0682,0.0
"[1, 0, 0, 1, 1]",-1,1.4987,0.0469,0.0789,0.0118,0.0114,0.0682,0.0
"[1, 0, 0, 1, 1]",-1,1.4987,0.0469,0.0789,0.0118,0.0114,0.0682,0.0
"[1, 0, 0, 1, 1]",-1,1.4987,0.0469,0.0789,0.0118,0.0114,0.0682,0.0
"[1, 0, 0, 1, 1]",-1,1.4987,0.0469,0.0789,0.0118,0.0114,0.0682,0.0
"[1, 0, 0, 1, 1]",-1,1.4987,0.0469,0.0789,0.0118,0.0114,0.0682,0.0
"[1, 0, 0, 1, 1]",-1,1.4987,0.0469,0.0789,0.0118,0.0114,0.0682,0.0
"[0, 1, 0, 1, 1]",-1,1.4987,0.0469,0.0789,0.0118,0.0114,0.0682,0.0
"[1, 0, 0, 1, 1]",-1,1.4987,0.0469,0.0789,0.0118,0.0114,0.0682,0.0
