genotype,performance,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency
"[3, 4, 1, 2, 0]",-1,1.104,0.0383,0.0628,0.0092,0.0088,0.0522,0.0
"[3, 4, 1, 2, 0]",-1,1.104,0.0383,0.0628,0.0092,0.0088,0.0522,0.0
"[3, 3, 0, 1, 0]",-1,1.104,0.0383,0.0628,0.0092,0.0088,0.0522,0.0
"[3, 3, 0, 0, 0]",-1,1.104,0.0383,0.0628,0.0092,0.0088,0.0522,0.0
"[3, 3, 0, 0, 0]",-1,1.104,0.0383,0.0628,0.0092,0.0088,0.0522,0.0
"[3, 3, 0, 0, 0]",-1,1.104,0.0383,0.0628,0.0092,0.0088,0.0522,0.0
"[3, 3, 0, 0, 0]",-1,1.104,0.0383,0.0628,0.0092,0.0088,0.0522,0.0
"[3, 3, 0, 0, 0]",-1,1.104,0.0383,0.0628,0.0092,0.0088,0.0522,0.0
"[3, 3, 0, 0, 0]",-1,1.104,0.0383,0.0628,0.0092,0.0088,0.0522,0.0
"[3, 3, 0, 0, 0]",-1,1.104,0.0383,0.0628,0.0092,0.0088,0.0522,0.0
"[3, 3, 0, 0, 0]",-1,1.104,0.0383,0.0628,0.0092,0.0088,0.0522,0.0
"[3, 3, 0, 0, 0]",-1,1.104,0.0383,0.0628,0.0092,0.0088,0.0522,0.0
"[3, 3, 0, 0, 0]",-1,1.104,0.0383,0.0628,0.0092,0.0088,0.0522,0.0
"[3, 3, 0, 0, 0]",-1,1.104,0.0383,0.0628,0.0092,0.0088,0.0522,0.0
"[3, 3, 0, 0, 0]",-1,1.104,0.0383,0.0628,0.0092,0.0088,0.0522,0.0
"[3, 3, 0, 0, 0]",-1,1.104,0.0383,0.0628,0.0092,0.0088,0.0522,0.0
"[3, 3, 0, 0, 0]",-1,1.104,0.0383,0.0628,0.0092,0.0088,0.0522,0.0
"[3, 3, 0, 0, 0]",-1,1.104,0.0383,0.0628,0.0092,0.0088,0.0522,0.0
"[3, 3, 0, 0, 0]",-1,1.104,0.0383,0.0628,0.0092,0.0088,0.0522,0.0
"[3, 3, 0, 0, 0]",-1,1.104,0.0383,0.0628,0.0092,0.0088,0.0522,0.0
"[3, 3, 0, 0, 0]",-1,1.104,0.0383,0.0628,0.0092,0.0088,0.0522,0.0
"[3, 3, 0, 0, 0]",-1,1.104,0.0383,0.0628,0.0092,0.0088,0.0522,0.0
"[3, 3, 0, 0, 0]",-1,1.104,0.0383,0.0628,0.0092,0.0088,0.0522,0.0
"[3, 3, 0, 0, 0]",-1,1.104,0.0383,0.0628,0.0092,0.0088,0.0522,0.0
"[3, 3, 0, 0, 0]",-1,1.104,0.0383,0.0628,0.0092,0.0088,0.0522,0.0
"[3, 3, 0, 0, 0]",-1,1.104,0.0383,0.0628,0.0092,0.0088,0.0522,0.0
"[3, 3, 0, 0, 0]",-1,1.104,0.0383,0.0628,0.0092,0.0088,0.0522,0.0
"[3, 3, 0, 0, 0]",-1,1.104,0.0383,0.0628,0.0092,0.0088,0.0522,0.0
"[3, 3, 0, 0, 0]",-1,1.104,0.0383,0.0628,0.0092,0.0088,0.0522,0.0
"[3, 3, 0, 0, 0]",-1,1.104,0.0383,0.0628,0.0092,0.0088,0.0522,0.0
