genotype,performance,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency
"[1, 0, 3, 2, 4]",-1,0.458,0.02,0.2738,0.0372,0.0372,0.2741,0.0
"[2, 4, 3, 4, 0]",-1,0.458,0.02,0.2738,0.0372,0.0372,0.2741,0.0
"[4, 4, 3, 4, 0]",-1,0.458,0.02,0.2738,0.0372,0.0372,0.2741,0.0
"[4, 4, 3, 4, 0]",-1,0.458,0.02,0.2738,0.0372,0.0372,0.2741,0.0
"[4, 4, 3, 4, 0]",-1,0.458,0.02,0.2738,0.0372,0.0372,0.2741,0.0
"[4, 4, 3, 4, 0]",-1,0.458,0.02,0.2738,0.0372,0.0372,0.2741,0.0
"[4, 4, 3, 4, 0]",-1,0.458,0.02,0.2738,0.0372,0.0372,0.2741,0.0
"[4, 4, 3, 4, 0]",-1,0.458,0.02,0.2738,0.0372,0.0372,0.2741,0.0
"[4, 4, 3, 4, 0]",-1,0.458,0.02,0.2738,0.0372,0.0372,0.2741,0.0
"[4, 4, 3, 4, 0]",-1,0.458,0.02,0.2738,0.0372,0.0372,0.2741,0.0
"[0, 4, 3, 4, 4]",-1,0.458,0.02,0.2738,0.0372,0.0372,0.2741,0.0
"[4, 4, 4, 4, 4]",-1,0.458,0.02,0.2738,0.0372,0.0372,0.2741,0.0
"[4, 4, 4, 4, 4]",-1,0.458,0.02,0.2738,0.0372,0.0372,0.2741,0.0
"[4, 4, 4, 4, 4]",-1,0.458,0.02,0.2738,0.0372,0.0372,0.2741,0.0
"[4, 4, 4, 4, 4]",-1,0.458,0.02,0.2738,0.0372,0.0372,0.2741,0.0
"[4, 4, 4, 4, 4]",-1,0.458,0.02,0.2738,0.0372,0.0372,0.2741,0.0
"[4, 4, 4, 4, 4]",-1,0.458,0.02,0.2738,0.0372,0.0372,0.2741,0.0
"[4, 4, 4, 4, 4]",-1,0.458,0.02,0.2738,0.0372,0.0372,0.2741,0.0
"[4, 4, 4, 4, 4]",-1,0.458,0.02,0.2738,0.0372,0.0372,0.2741,0.0
"[4, 4, 4, 4, 4]",-1,0.458,0.02,0.2738,0.0372,0.0372,0.2741,0.0
"[4, 4, 4, 4, 4]",-1,0.458,0.02,0.2738,0.0372,0.0372,0.2741,0.0
"[4, 4, 4, 4, 4]",-1,0.458,0.02,0.2738,0.0372,0.0372,0.2741,0.0
"[4, 4, 4, 4, 4]",-1,0.458,0.02,0.2738,0.0372,0.0372,0.2741,0.0
"[4, 4, 4, 4, 4]",-1,0.458,0.02,0.2738,0.0372,0.0372,0.2741,0.0
"[4, 4, 4, 4, 4]",-1,0.458,0.02,0.2738,0.0372,0.0372,0.2741,0.0
"[4, 4, 4, 4, 4]",-1,0.458,0.02,0.2738,0.0372,0.0372,0.2741,0.0
"[4, 4, 4, 4, 4]",-1,0.458,0.02,0.2738,0.0372,0.0372,0.2741,0.0
"[4, 4, 4, 4, 4]",-1,0.458,0.02,0.2738,0.0372,0.0372,0.2741,0.0
"[4, 4, 4, 4, 4]",-1,0.458,0.02,0.2738,0.0372,0.0372,0.2741,0.0
"[4, 4, 4, 4, 4]",-1,0.458,0.02,0.2738,0.0372,0.0372,0.2741,0.0
