genotype,performance,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency
"[0, 1]",-1,0.0034,0.0001,0.0119,0.0075,0.0074,0.0118,0.0
"[0, 1]",-1,0.0034,0.0001,0.0119,0.0075,0.0074,0.0118,0.0
"[0, 1]",-1,0.0034,0.0001,0.0119,0.0075,0.0074,0.0118,0.0
"[0, 1]",-1,0.0034,0.0001,0.0119,0.0075,0.0074,0.0118,0.0
"[0, 1]",-1,0.0034,0.0001,0.0119,0.0075,0.0074,0.0118,0.0
"[0, 1]",-1,0.0034,0.0001,0.0119,0.0075,0.0074,0.0118,0.0
"[0, 1]",-1,0.0034,0.0001,0.0119,0.0075,0.0074,0.0118,0.0
"[1, 0]",-1,0.0034,0.0001,0.0119,0.0075,0.0074,0.0118,0.0
"[1, 0]",-1,0.0034,0.0001,0.0119,0.0075,0.0074,0.0118,0.0
"[1, 0]",-1,0.0034,0.0001,0.0119,0.0075,0.0074,0.0118,0.0
"[1, 0]",-1,0.0034,0.0001,0.0119,0.0075,0.0074,0.0118,0.0
"[1, 0]",-1,0.0034,0.0001,0.0119,0.0075,0.0074,0.0118,0.0
"[1, 0]",-1,0.0034,0.0001,0.0119,0.0075,0.0074,0.0118,0.0
"[1, 0]",-1,0.0034,0.0001,0.0119,0.0075,0.0074,0.0118,0.0
"[1, 0]",-1,0.0034,0.0001,0.0119,0.0075,0.0074,0.0118,0.0
"[1, 0]",-1,0.0034,0.0001,0.0119,0.0075,0.0074,0.0118,0.0
"[1, 0]",-1,0.0034,0.0001,0.0119,0.0075,0.0074,0.0118,0.0
"[1, 0]",-1,0.0034,0.0001,0.0119,0.0075,0.0074,0.0118,0.0
"[1, 0]",-1,0.0034,0.0001,0.0119,0.0075,0.0074,0.0118,0.0
"[1, 0]",-1,0.0034,0.0001,0.0119,0.0075,0.0074,0.0118,0.0
"[1, 0]",-1,0.0034,0.0001,0.0119,0.0075,0.0074,0.0118,0.0
"[1, 0]",-1,0.0034,0.0001,0.0119,0.0075,0.0074,0.0118,0.0
"[1, 0]",-1,0.0034,0.0001,0.0119,0.0075,0.0074,0.0118,0.0
"[1, 0]",-1,0.0034,0.0001,0.0119,0.0075,0.0074,0.0118,0.0
"[1, 0]",-1,0.0034,0.0001,0.0119,0.0075,0.0074,0.0118,0.0
"[1, 0]",-1,0.0034,0.0001,0.0119,0.0075,0.0074,0.0118,0.0
"[1, 0]",-1,0.0034,0.0001,0.0119,0.0075,0.0074,0.0118,0.0
"[1, 0]",-1,0.0034,0.0001,0.0119,0.0075,0.0074,0.0118,0.0
"[1, 0]",-1,0.0034,0.0001,0.0119,0.0075,0.0074,0.0118,0.0
"[1, 0]",-1,0.0034,0.0001,0.0119,0.0075,0.0074,0.0118,0.0
