genotype,performance,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency
"[1, 0]",-1,2.6972,0.0241,0.0036,0.0175,0.0175,0.0034,0.0
"[0, 1]",-1,2.6972,0.0241,0.0036,0.0175,0.0175,0.0034,0.0
"[1, 0]",-1,2.6972,0.0241,0.0036,0.0175,0.0175,0.0034,0.0
"[0, 1]",-1,2.6972,0.0241,0.0036,0.0175,0.0175,0.0034,0.0
"[0, 1]",-1,2.6972,0.0241,0.0036,0.0175,0.0175,0.0034,0.0
"[0, 1]",-1,2.6972,0.0241,0.0036,0.0175,0.0175,0.0034,0.0
"[0, 1]",-1,2.6972,0.0241,0.0036,0.0175,0.0175,0.0034,0.0
"[0, 1]",-1,2.6972,0.0241,0.0036,0.0175,0.0175,0.0034,0.0
"[1, 0]",-1,2.6972,0.0241,0.0036,0.0175,0.0175,0.0034,0.0
"[1, 0]",-1,2.6972,0.0241,0.0036,0.0175,0.0175,0.0034,0.0
"[0, 1]",-1,2.6972,0.0241,0.0036,0.0175,0.0175,0.0034,0.0
"[0, 1]",-1,2.6972,0.0241,0.0036,0.0175,0.0175,0.0034,0.0
"[0, 1]",-1,2.6972,0.0241,0.0036,0.0175,0.0175,0.0034,0.0
"[0, 1]",-1,2.6972,0.0241,0.0036,0.0175,0.0175,0.0034,0.0
"[0, 1]",-1,2.6972,0.0241,0.0036,0.0175,0.0175,0.0034,0.0
"[0, 1]",-1,2.6972,0.0241,0.0036,0.0175,0.0175,0.0034,0.0
"[0, 1]",-1,2.6972,0.0241,0.0036,0.0175,0.0175,0.0034,0.0
"[0, 1]",-1,2.6972,0.0241,0.0036,0.0175,0.0175,0.0034,0.0
"[0, 1]",-1,2.6972,0.0241,0.0036,0.0175,0.0175,0.0034,0.0
"[0, 1]",-1,2.6972,0.0241,0.0036,0.0175,0.0175,0.0034,0.0
"[0, 1]",-1,2.6972,0.0241,0.0036,0.0175,0.0175,0.0034,0.0
"[0, 1]",-1,2.6972,0.0241,0.0036,0.0175,0.0175,0.0034,0.0
"[0, 1]",-1,2.6972,0.0241,0.0036,0.0175,0.0175,0.0034,0.0
"[0, 1]",-1,2.6972,0.0241,0.0036,0.0175,0.0175,0.0034,0.0
"[0, 1]",-1,2.6972,0.0241,0.0036,0.0175,0.0175,0.0034,0.0
"[0, 1]",-1,2.6972,0.0241,0.0036,0.0175,0.0175,0.0034,0.0
"[0, 1]",-1,2.6972,0.0241,0.0036,0.0175,0.0175,0.0034,0.0
"[0, 1]",-1,2.6972,0.0241,0.0036,0.0175,0.0175,0.0034,0.0
"[0, 1]",-1,2.6972,0.0241,0.0036,0.0175,0.0175,0.0034,0.0
"[0, 1]",-1,2.6972,0.0241,0.0036,0.0175,0.0175,0.0034,0.0
