genotype,performance,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency
"[4, 2, 0, 1, 3]",-1,0.8433,0.021,0.0583,0.0081,0.008,0.0533,0.0
"[4, 2, 0, 1, 3]",-1,0.8433,0.021,0.0583,0.0081,0.008,0.0533,0.0
"[4, 2, 0, 1, 3]",-1,0.8433,0.021,0.0583,0.0081,0.008,0.0533,0.0
"[2, 0, 3, 1, 3]",-1,0.8433,0.021,0.0583,0.0081,0.008,0.0533,0.0
"[2, 0, 3, 1, 3]",-1,0.8433,0.021,0.0583,0.0081,0.008,0.0533,0.0
"[2, 0, 3, 1, 3]",-1,0.8433,0.021,0.0583,0.0081,0.008,0.0533,0.0
"[2, 0, 3, 1, 3]",-1,0.8433,0.021,0.0583,0.0081,0.008,0.0533,0.0
"[2, 0, 3, 1, 3]",-1,0.8433,0.021,0.0583,0.0081,0.008,0.0533,0.0
"[2, 3, 0, 2, 3]",-1,0.8433,0.021,0.0583,0.0081,0.008,0.0533,0.0
"[2, 3, 0, 2, 3]",-1,0.8433,0.021,0.0583,0.0081,0.008,0.0533,0.0
"[2, 3, 0, 2, 3]",-1,0.8433,0.021,0.0583,0.0081,0.008,0.0533,0.0
"[2, 0, 3, 2, 3]",-1,0.8433,0.021,0.0583,0.0081,0.008,0.0533,0.0
"[2, 0, 3, 2, 3]",-1,0.8433,0.021,0.0583,0.0081,0.008,0.0533,0.0
"[2, 0, 3, 2, 3]",-1,0.8433,0.021,0.0583,0.0081,0.008,0.0533,0.0
"[2, 0, 3, 2, 3]",-1,0.8433,0.021,0.0583,0.0081,0.008,0.0533,0.0
"[2, 0, 0, 2, 3]",-1,0.8433,0.021,0.0583,0.0081,0.008,0.0533,0.0
"[2, 0, 0, 2, 3]",-1,0.8433,0.021,0.0583,0.0081,0.008,0.0533,0.0
"[2, 0, 0, 2, 3]",-1,0.8433,0.021,0.0583,0.0081,0.008,0.0533,0.0
"[2, 0, 0, 2, 3]",-1,0.8433,0.021,0.0583,0.0081,0.008,0.0533,0.0
"[2, 0, 0, 2, 3]",-1,0.8433,0.021,0.0583,0.0081,0.008,0.0533,0.0
"[2, 0, 0, 2, 3]",-1,0.8433,0.021,0.0583,0.0081,0.008,0.0533,0.0
"[2, 0, 0, 2, 3]",-1,0.8433,0.021,0.0583,0.0081,0.008,0.0533,0.0
"[2, 0, 0, 2, 3]",-1,0.8433,0.021,0.0583,0.0081,0.008,0.0533,0.0
"[2, 0, 0, 2, 3]",-1,0.8433,0.021,0.0583,0.0081,0.008,0.0533,0.0
"[2, 0, 0, 2, 3]",-1,0.8433,0.021,0.0583,0.0081,0.008,0.0533,0.0
"[2, 0, 0, 2, 3]",-1,0.8433,0.021,0.0583,0.0081,0.008,0.0533,0.0
"[2, 0, 0, 2, 3]",-1,0.8433,0.021,0.0583,0.0081,0.008,0.0533,0.0
"[2, 0, 0, 2, 3]",-1,0.8433,0.021,0.0583,0.0081,0.008,0.0533,0.0
"[2, 0, 0, 2, 3]",-1,0.8433,0.021,0.0583,0.0081,0.008,0.0533,0.0
"[2, 0, 0, 2, 3]",-1,0.8433,0.021,0.0583,0.0081,0.008,0.0533,0.0
