genotype,performance,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency
"[3, 2, 1, 0, 4]",-1,0.4727,0.0205,0.1477,0.029,0.0287,0.1384,0.0
"[3, 2, 1, 0, 4]",-1,0.4727,0.0205,0.1477,0.029,0.0287,0.1384,0.0
"[3, 2, 1, 0, 4]",-1,0.4727,0.0205,0.1477,0.029,0.0287,0.1384,0.0
"[3, 2, 1, 0, 4]",-1,0.4727,0.0205,0.1477,0.029,0.0287,0.1384,0.0
"[3, 2, 1, 0, 4]",-1,0.4727,0.0205,0.1477,0.029,0.0287,0.1384,0.0
"[3, 2, 1, 0, 4]",-1,0.4727,0.0205,0.1477,0.029,0.0287,0.1384,0.0
"[3, 2, 1, 0, 4]",-1,0.4727,0.0205,0.1477,0.029,0.0287,0.1384,0.0
"[0, 2, 1, 0, 4]",-1,0.4727,0.0205,0.1477,0.029,0.0287,0.1384,0.0
"[0, 3, 1, 2, 4]",-1,0.4727,0.0205,0.1477,0.029,0.0287,0.1384,0.0
"[0, 3, 1, 2, 4]",-1,0.4727,0.0205,0.1477,0.029,0.0287,0.1384,0.0
"[0, 2, 3, 1, 4]",-1,0.4727,0.0205,0.1477,0.029,0.0287,0.1384,0.0
"[0, 2, 3, 1, 4]",-1,0.4727,0.0205,0.1477,0.029,0.0287,0.1384,0.0
"[0, 2, 3, 1, 4]",-1,0.4727,0.0205,0.1477,0.029,0.0287,0.1384,0.0
"[0, 2, 1, 1, 4]",-1,0.4727,0.0205,0.1477,0.029,0.0287,0.1384,0.0
"[0, 2, 1, 1, 4]",-1,0.4727,0.0205,0.1477,0.029,0.0287,0.1384,0.0
"[0, 1, 3, 1, 4]",-1,0.4727,0.0205,0.1477,0.029,0.0287,0.1384,0.0
"[0, 3, 1, 1, 4]",-1,0.4727,0.0205,0.1477,0.029,0.0287,0.1384,0.0
"[0, 3, 1, 1, 4]",-1,0.4727,0.0205,0.1477,0.029,0.0287,0.1384,0.0
"[0, 3, 3, 1, 4]",-1,0.4727,0.0205,0.1477,0.029,0.0287,0.1384,0.0
"[0, 3, 3, 1, 4]",-1,0.4727,0.0205,0.1477,0.029,0.0287,0.1384,0.0
"[0, 3, 3, 1, 4]",-1,0.4727,0.0205,0.1477,0.029,0.0287,0.1384,0.0
"[0, 3, 1, 3, 4]",-1,0.4727,0.0205,0.1477,0.029,0.0287,0.1384,0.0
"[0, 3, 1, 3, 4]",-1,0.4727,0.0205,0.1477,0.029,0.0287,0.1384,0.0
"[0, 3, 1, 3, 4]",-1,0.4727,0.0205,0.1477,0.029,0.0287,0.1384,0.0
"[0, 3, 1, 3, 4]",-1,0.4727,0.0205,0.1477,0.029,0.0287,0.1384,0.0
"[0, 3, 1, 3, 4]",-1,0.4727,0.0205,0.1477,0.029,0.0287,0.1384,0.0
"[0, 3, 1, 3, 4]",-1,0.4727,0.0205,0.1477,0.029,0.0287,0.1384,0.0
"[0, 3, 1, 3, 4]",-1,0.4727,0.0205,0.1477,0.029,0.0287,0.1384,0.0
"[0, 3, 1, 3, 4]",-1,0.4727,0.0205,0.1477,0.029,0.0287,0.1384,0.0
"[0, 3, 3, 1, 4]",-1,0.4727,0.0205,0.1477,0.029,0.0287,0.1384,0.0
